epoch,categorical_accuracy,loss,mean_io_u,val_categorical_accuracy,val_loss,val_mean_io_u
0,0.4351499378681183,76837.96875,0.033533476293087006,0.4695691764354706,79883.140625,0.033711232244968414
0,0.48491424322128296,77259.625,0.10707982629537582,0.6816045641899109,74042.0234375,0.1575675904750824
1,0.6369770169258118,61966.89453125,0.1523183137178421,0.7242435216903687,63287.50390625,0.1648835688829422
2,0.7149311304092407,57103.6640625,0.18742935359477997,0.7527621984481812,59338.12109375,0.20448845624923706
3,0.7214711904525757,53501.59375,0.20981436967849731,0.7371965646743774,55509.37109375,0.2149796485900879
4,0.7067441940307617,50782.45703125,0.22340548038482666,0.5280589461326599,55301.97265625,0.19341476261615753
5,0.6769136786460876,48425.8203125,0.23152737319469452,0.586091160774231,48969.53515625,0.21027478575706482
6,0.6445984840393066,46302.56640625,0.2396370768547058,0.5598042607307434,47388.33984375,0.20420940220355988
7,0.6071373820304871,44421.890625,0.2471289187669754,0.5803861021995544,49514.10546875,0.2175934612751007
8,0.5763013362884521,42731.10546875,0.2537277340888977,0.5669205188751221,44844.9296875,0.23476549983024597
9,0.5550469756126404,41243.74609375,0.2606182098388672,0.5289515852928162,43153.3671875,0.2384595423936844
10,0.5479767918586731,39837.0390625,0.269378125667572,0.5321431756019592,44423.11328125,0.22840899229049683
11,0.5440984964370728,38675.23046875,0.2802317142486572,0.5284876227378845,42387.71875,0.24549588561058044
12,0.5441732406616211,37463.8125,0.29239436984062195,0.5243012309074402,42646.29296875,0.245636984705925
13,0.5456490516662598,36596.5625,0.30681324005126953,0.5279433131217957,40802.81640625,0.2559322416782379
14,0.5467865467071533,35547.53515625,0.3200756311416626,0.5246313214302063,40659.4609375,0.25131937861442566
15,0.5488288402557373,34888.20703125,0.3340541422367096,0.5254098176956177,40037.8828125,0.2547495365142822
16,0.5505836009979248,34372.6015625,0.3433261513710022,0.5257896780967712,40109.69921875,0.2568371295928955
17,0.5522288680076599,34002.265625,0.35092398524284363,0.5248587727546692,40314.203125,0.2557142674922943
18,0.5522606372833252,33767.5703125,0.35625478625297546,0.5244860649108887,40217.5078125,0.25524038076400757
19,0.5530475974082947,33573.3515625,0.3595583736896515,0.5253931879997253,40137.1171875,0.25541824102401733
